PROD_ID,PROD_NAME,UNIT_PRICE,PROD_CATEGORY,PROD_SUB_CATEGORY,PROD_CONTAINER,PROD_BASE_MARGIN
825,Accessory31,35.99,Technology,Telephones and Communication,Small Pack,0.35
826,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,300.65,Office Supplies,Appliances,Large Box,0.52
827,"Executive Impressions 12"" Wall Clock",17.67,Furniture,Office Furnishings,Small Pack,0.47
828,Space Solutions Commercial Steel Shelving,64.65,Office Supplies,Storage & Organization,Large Box,0.80
829,Xerox 1996,6.48,Office Supplies,Paper,Small Box,0.37
830,Boston KS Multi-Size Manual Pencil Sharpener,22.99,Office Supplies,Pens & Art Supplies,Small Pack,0.57
831,Hayes Optima 56K V.90 Internal Voice Modem,256.99,Technology,Computer Peripherals,Small Box,0.51
832,Security-Tint Envelopes,7.64,Office Supplies,Envelopes,Small Box,0.36
833,6162,125.99,Technology,Telephones and Communication,Small Box,0.59
834,Newell 309,11.55,Office Supplies,Pens & Art Supplies,Wrap Bag,0.55
835,3M Polarizing Light Filter Sleeves,18.65,Furniture,Office Furnishings,Small Pack,0.39
836,Canon P1-DHIII Palm Printing Calculator,17.98,Technology,Office Machines,Medium Box,0.40
837,Xerox 1896,9.99,Office Supplies,Paper,Small Box,0.40
838,2180,175.99,Technology,Telephones and Communication,Small Box,0.57
839,SAFCO Folding Chair Trolley,128.24,Furniture,Chairs & Chairmats,Medium Box,0.39
840,Xerox 1983,5.98,Office Supplies,Paper,Small Box,0.36
841,"Wilson Jones 1"" Hanging DublLock® Ring Binders",5.28,Office Supplies,Binders and Binder Accessories,Small Box,0.37
842,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,270.98,Furniture,Chairs & Chairmats,Jumbo Drum,0.77
843,Ames Color-File® Green Diamond Border X-ray Mailers,83.98,Office Supplies,Envelopes,Small Box,0.38
844,Xerox 1923,6.68,Office Supplies,Paper,Small Box,0.37
845,"Eldon® 300 Class™ Desk Accessories, Black",4.95,Furniture,Office Furnishings,Small Box,0.41
846,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,7.77,Office Supplies,Appliances,Small Box,0.58
847,Eldon® Gobal File Keepers,15.14,Office Supplies,Storage & Organization,Small Box,0.81
848,Nu-Dell Executive Frame,12.64,Furniture,Office Furnishings,Small Pack,0.48
849,Xerox 1982,22.84,Office Supplies,Paper,Small Box,0.39
850,Newell® 3-Hole Punched Plastic Slotted Magazine Holders for Binders,4.57,Office Supplies,Binders and Binder Accessories,Small Box,0.37
851,Xerox 1920,5.98,Office Supplies,Paper,Small Box,0.40
852,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",5.68,Office Supplies,Paper,Wrap Bag,0.40
853,"O'Sullivan Elevations Bookcase, Cherry Finish",130.98,Furniture,Bookcases,Jumbo Box,0.69
854,Novimex Fabric Task Chair,60.98,Furniture,Chairs & Chairmats,Jumbo Drum,0.70
855,U.S. Robotics 56K Internet Call Modem,99.99,Technology,Computer Peripherals,Small Box,0.50
856,"Eldon® Image Series Desk Accessories, Burgundy",4.18,Furniture,Office Furnishings,Small Box,0.49
857,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",4.91,Office Supplies,Binders and Binder Accessories,Small Box,0.38
858,Binder Clips by OIC,1.48,Office Supplies,Rubber Bands,Wrap Bag,0.37
859,"Quartet Alpha® White Chalk, 12/Pack",2.21,Office Supplies,Pens & Art Supplies,Wrap Bag,0.38
860,"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",12.97,Office Supplies,Binders and Binder Accessories,Small Box,0.35
861,White GlueTop Scratch Pads,15.04,Office Supplies,Paper,Wrap Bag,0.39
862,"Hewlett-Packard Business Color Inkjet 3000 [N, DTN] Series Printers",808.49,Technology,Office Machines,Jumbo Drum,0.40
863,Avery 474,2.88,Office Supplies,Labels,Small Box,0.36
864,StarTAC Analog,65.99,Technology,Telephones and Communication,Small Box,0.60
865,OIC Thumb-Tacks,1.14,Office Supplies,Rubber Bands,Wrap Bag,0.38
866,"Array® Parchment Paper, Assorted Colors",7.28,Office Supplies,Paper,Small Box,0.37
867,Hon Deluxe Fabric Upholstered Stacking Chairs,243.98,Furniture,Chairs & Chairmats,Jumbo Drum,0.57
868,Canon imageCLASS 2200 Advanced Copier,3499.99,Technology,Copiers and Fax,Large Box,0.37
869,Bretford CR4500 Series Slim Rectangular Table,348.21,Furniture,Tables,Jumbo Box,0.62
870,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,167.27,Office Supplies,Storage & Organization,Large Box,0.85
871,"Executive Impressions 12"" Wall Clock",17.67,Furniture,Office Furnishings,Small Pack,0.47
872,HP Office Recycled Paper (20Lb. and 87 Bright),5.78,Office Supplies,Paper,Small Box,0.36
873,Lumber Crayons,9.85,Office Supplies,Pens & Art Supplies,Wrap Bag,0.47
874,Prang Colored Pencils,2.94,Office Supplies,Pens & Art Supplies,Wrap Bag,0.40
875,3390,65.99,Technology,Telephones and Communication,Small Box,0.57
876,Eldon® Gobal File Keepers,15.14,Office Supplies,Storage & Organization,Small Box,0.81
877,Ibico Covers for Plastic or Wire Binding Elements,11.5,Office Supplies,Binders and Binder Accessories,Small Box,0.40
878,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",2.98,Office Supplies,Pens & Art Supplies,Wrap Bag,0.57
879,Cardinal Holdit Business Card Pockets,4.98,Office Supplies,Binders and Binder Accessories,Small Box,0.37
880,"Master Giant Foot® Doorstop, Safety Yellow",7.59,Furniture,Office Furnishings,Wrap Bag,0.42
881,Stockwell Push Pins,2.18,Office Supplies,Rubber Bands,Wrap Bag,0.52
882,Okidata ML390 Turbo Dot Matrix Printers,442.14,Technology,Office Machines,Jumbo Drum,0.56
883,Global Deluxe High-Back Office Chair in Storm,135.99,Furniture,Chairs & Chairmats,Jumbo Drum,0.76
884,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",55.48,Office Supplies,Paper,Small Box,0.37
885,"Iris® 3-Drawer Stacking Bin, Black",20.89,Office Supplies,Storage & Organization,Small Box,0.83
886,Xerox 210,6.48,Office Supplies,Paper,Small Box,0.37
887,Panasonic KX-P1150 Dot Matrix Printer,145.45,Technology,Office Machines,Jumbo Drum,0.56
888,Space Solutions Commercial Steel Shelving,64.65,Office Supplies,Storage & Organization,Large Box,0.80
889,Anderson Hickey Conga Table Tops & Accessories,15.23,Furniture,Tables,Jumbo Box,0.76
890,"Eureka Sanitaire ® Multi-Pro Heavy-Duty Upright, Disposable Bags",4.37,Office Supplies,Appliances,Small Box,0.59
891,Global Troy™ Executive Leather Low-Back Tilter,500.98,Furniture,Chairs & Chairmats,Jumbo Drum,0.60
892,"DAX Copper Panel Document Frame, 5 x 7 Size",12.58,Furniture,Office Furnishings,Small Box,0.43
893,Deflect-O® Glasstique™ Clear Desk Accessories,7.7,Furniture,Office Furnishings,Wrap Bag,0.52
894,Ibico Hi-Tech Manual Binding System,304.99,Office Supplies,Binders and Binder Accessories,Small Box,0.40
895,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",200.98,Furniture,Chairs & Chairmats,Jumbo Drum,0.58
896,Avery 491,4.13,Office Supplies,Labels,Small Box,0.39
897,"Memorex 80 Minute CD-R Spindle, 100/Pack",43.98,Technology,Computer Peripherals,Small Pack,0.44
898,Accessory13,35.99,Technology,Telephones and Communication,Small Pack,0.57
899,252,65.99,Technology,Telephones and Communication,Small Box,0.55
900,Fellowes Super Stor/Drawer® Files,161.55,Office Supplies,Storage & Organization,Small Box,0.66
901,TI 30X Scientific Calculator,11.99,Technology,Office Machines,Medium Box,0.36
902,Boston 1799 Powerhouse™ Electric Pencil Sharpener,25.98,Office Supplies,Pens & Art Supplies,Small Pack,0.57
903,"Tenex Personal Project File with Scoop Front Design, Black",13.48,Office Supplies,Storage & Organization,Small Box,0.59
904,Bush Advantage Collection® Round Conference Table,212.6,Furniture,Tables,Jumbo Box,0.73
905,Accessory36,55.99,Technology,Telephones and Communication,Small Pack,0.83
906,"Imation Printable White 80 Minute CD-R Spindle, 50/Pack",40.98,Technology,Computer Peripherals,Small Pack,0.44
907,Advantus Map Pennant Flags and Round Head Tacks,3.95,Office Supplies,Rubber Bands,Wrap Bag,0.53
908,Boston 1730 StandUp Electric Pencil Sharpener,21.38,Office Supplies,Pens & Art Supplies,Small Pack,0.59
909,2180,175.99,Technology,Telephones and Communication,Small Box,0.57
910,Wilson Jones Impact Binders,5.18,Office Supplies,Binders and Binder Accessories,Small Box,0.36
911,GBC VeloBinder Strips,7.68,Office Supplies,Binders and Binder Accessories,Small Box,0.35
912,Canon MP41DH Printing Calculator,150.98,Technology,Office Machines,Medium Box,0.38
913,Xerox 21,6.48,Office Supplies,Paper,Small Box,0.37
914,Cardinal Poly Pocket Divider Pockets for Ring Binders,3.36,Office Supplies,Binders and Binder Accessories,Small Box,0.40
915,Xerox 1920,5.98,Office Supplies,Paper,Small Box,0.40
916,"Fellowes Basic 104-Key Keyboard, Platinum",20.95,Technology,Computer Peripherals,Small Box,0.65
917,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",9.11,Office Supplies,Paper,Wrap Bag,0.40
918,Fellowes Mighty 8 Compact Surge Protector,20.27,Office Supplies,Appliances,Small Box,0.57
919,Bretford CR4500 Series Slim Rectangular Table,348.21,Furniture,Tables,Jumbo Box,0.62
920,GBC DocuBind P100 Manual Binding Machine,165.98,Office Supplies,Binders and Binder Accessories,Small Box,0.40
921,Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock,78.69,Furniture,Office Furnishings,Small Box,0.43
922,Bevis Rectangular Conference Tables,145.98,Furniture,Tables,Jumbo Box,0.69
923,GBC ProClick™ 150 Presentation Binding System,315.98,Office Supplies,Binders and Binder Accessories,Small Box,0.38
924,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",14.81,Office Supplies,Appliances,Small Box,0.43
925,Belkin MediaBoard 104- Keyboard,27.48,Technology,Computer Peripherals,Small Box,0.75
926,Boston 16765 Mini Stand Up Battery Pencil Sharpener,11.66,Office Supplies,Pens & Art Supplies,Small Pack,0.59
927,Acco® Hot Clips™ Clips to Go,3.29,Office Supplies,Rubber Bands,Wrap Bag,0.40
928,Xerox 1932,35.44,Office Supplies,Paper,Small Box,0.38
929,4009® Highlighters by Sanford,3.98,Office Supplies,Pens & Art Supplies,Wrap Bag,0.52
930,Newell 310,1.76,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56
931,Fellowes Staxonsteel® Drawer Files,193.17,Office Supplies,Storage & Organization,Small Box,0.71
932,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",8.95,Office Supplies,Paper,Wrap Bag,0.39
933,Accessory6,55.99,Technology,Telephones and Communication,Small Pack,0.80
934,5125,200.99,Technology,Telephones and Communication,Small Box,0.59
935,Eldon® Wave Desk Accessories,2.08,Furniture,Office Furnishings,Small Box,0.43
936,Fuji 5.2GB DVD-RAM,40.96,Technology,Computer Peripherals,Small Pack,0.55
937,Panasonic KX-P2130 Dot Matrix Printer,213.45,Technology,Office Machines,Jumbo Drum,0.59
938,Belkin Premiere Surge Master II 8-outlet surge protector,48.58,Office Supplies,Appliances,Small Box,0.56
939,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",8.33,Technology,Computer Peripherals,Small Pack,0.52
940,Letter Size Cart,142.86,Office Supplies,Storage & Organization,Small Box,0.56
941,"DAX Metal Frame, Desktop, Stepped-Edge",20.24,Furniture,Office Furnishings,Small Pack,0.46
942,Eldon® 200 Class™ Desk Accessories,6.28,Furniture,Office Furnishings,Small Box,0.53
943,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",70.98,Furniture,Bookcases,Jumbo Box,0.52
944,"Eldon® Image Series Desk Accessories, Burgundy",4.18,Furniture,Office Furnishings,Small Box,0.49
945,Acme® Elite Stainless Steel Scissors,8.34,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,0.59
946,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",130.98,Furniture,Chairs & Chairmats,Jumbo Drum,0.78
947,"Memorex 80 Minute CD-R, 30/Pack",22.98,Technology,Computer Peripherals,Small Pack,0.46
948,T39m,155.99,Technology,Telephones and Communication,Small Box,0.55
949,Xerox 1983,5.98,Office Supplies,Paper,Small Box,0.36
950,Eldon Simplefile® Box Office®,12.44,Office Supplies,Storage & Organization,Medium Box,0.57
951,Xerox 1930,6.48,Office Supplies,Paper,Small Box,0.36
952,"Tennsco Lockers, Gray",20.98,Office Supplies,Storage & Organization,Jumbo Drum,0.78
953,Xerox 197,30.98,Office Supplies,Paper,Small Box,0.40
954,Eureka Disposable Bags for Sanitaire® Vibra Groomer I® Upright Vac,4.06,Office Supplies,Appliances,Small Box,0.60
955,Avery 510,3.75,Office Supplies,Labels,Small Box,0.37
956,Dana Swing-Arm Lamps,10.68,Furniture,Office Furnishings,Large Box,0.60
957,"Staples Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",6.47,Office Supplies,Pens & Art Supplies,Wrap Bag,0.40
958,SANFORD Liquid Accent™ Tank-Style Highlighters,2.84,Office Supplies,Pens & Art Supplies,Wrap Bag,0.54
959,"Global High-Back Leather Tilter, Burgundy",122.99,Furniture,Chairs & Chairmats,Jumbo Drum,0.74
960,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",70.71,Furniture,Office Furnishings,Wrap Bag,0.78
961,"Wilson Jones Hanging View Binder, White, 1""",7.1,Office Supplies,Binders and Binder Accessories,Small Box,0.39
962,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",4.98,Technology,Computer Peripherals,Small Pack,0.64
963,Staples Standard Envelopes,5.68,Office Supplies,Envelopes,Small Box,0.38
964,"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",42.8,Office Supplies,Binders and Binder Accessories,Small Box,0.36
965,"Crayola Anti Dust Chalk, 12/Pack",1.82,Office Supplies,Pens & Art Supplies,Wrap Bag,0.40
966,Xerox 210,6.48,Office Supplies,Paper,Small Box,0.37
967,Xerox 1977,6.68,Office Supplies,Paper,Small Box,0.37
968,Holmes Odor Grabber,14.42,Office Supplies,Appliances,Medium Box,0.52
969,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,100.89,Furniture,Chairs & Chairmats,Jumbo Drum,0.61
970,Chromcraft Rectangular Conference Tables,236.97,Furniture,Tables,Jumbo Box,0.61
971,Xerox 1947,5.98,Office Supplies,Paper,Small Box,0.40
972,"Fellowes Mobile Numeric Keypad, Graphite",43.22,Technology,Computer Peripherals,Small Box,0.64
973,i2000,125.99,Technology,Telephones and Communication,Small Box,0.60
974,"Fellowes Personal Hanging Folder Files, Navy",13.43,Office Supplies,Storage & Organization,Small Box,0.57
975,StarTAC 7760,65.99,Technology,Telephones and Communication,Small Box,0.59
976,Belkin ErgoBoard™ Keyboard,30.98,Technology,Computer Peripherals,Small Box,0.64
977,Imation DVD-RAM discs,35.41,Technology,Computer Peripherals,Small Pack,0.43
978,Flat Face Poster Frame,18.84,Furniture,Office Furnishings,Wrap Bag,0.43
979,Hewlett-Packard Deskjet 940 REFURBISHED Color Inkjet Printer,80.97,Technology,Office Machines,Jumbo Box,0.40
980,Xerox 214,6.48,Office Supplies,Paper,Small Box,0.37
981,Office Star - Task Chair with Contemporary Loop Arms,90.98,Furniture,Chairs & Chairmats,Jumbo Drum,0.61
982,Bell Sonecor JB700 Caller ID,7.99,Technology,Telephones and Communication,Medium Box,0.60
983,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",8.69,Office Supplies,Binders and Binder Accessories,Small Box,0.39
984,"Avery Flip-Chart Easel Binder, Black",22.38,Office Supplies,Binders and Binder Accessories,Small Box,0.38
985,Avery 51,6.3,Office Supplies,Labels,Small Box,0.39
986,"Seth Thomas 13 1/2"" Wall Clock",17.78,Furniture,Office Furnishings,Small Box,0.54
987,LX 677,110.99,Technology,Telephones and Communication,Small Box,0.57
988,Avery Self-Adhesive Photo Pockets for Polaroid Photos,6.81,Office Supplies,Binders and Binder Accessories,Small Box,0.37
989,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,280.98,Furniture,Chairs & Chairmats,Jumbo Drum,0.78
990,"Sanford Uni-Blazer™ View Highlighters, Chisel Tip, Yellow",2.2,Office Supplies,Pens & Art Supplies,Wrap Bag,0.41
991,Avery 508,4.91,Office Supplies,Labels,Small Box,0.36
992,Xerox 1898,6.68,Office Supplies,Paper,Small Box,0.37
993,Ultra Door Pull Handle,10.52,Furniture,Office Furnishings,Small Pack,0.52
994,3390,65.99,Technology,Telephones and Communication,Small Box,0.57
995,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",217.85,Furniture,Tables,Jumbo Box,0.68
996,Personal Creations™ Ink Jet Cards and Labels,11.48,Office Supplies,Paper,Small Box,0.36
997,Kleencut® Forged Office Shears by Acme United Corporation,2.08,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,0.55
998,Xerox 1897,4.98,Office Supplies,Paper,Small Box,0.36
999,Eldon® Wave Desk Accessories,2.08,Furniture,Office Furnishings,Small Box,0.43
1000,"Imation Printable White 80 Minute CD-R Spindle, 50/Pack",40.98,Technology,Computer Peripherals,Small Pack,0.44
1001,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,180.98,Furniture,Chairs & Chairmats,Jumbo Drum,0.69
1002,Xerox 1937,48.04,Office Supplies,Paper,Small Box,0.37
1003,Bretford CR8500 Series Meeting Room Furniture,400.98,Furniture,Tables,Jumbo Box,0.71
1004,Xerox 1997,6.48,Office Supplies,Paper,Small Box,0.37
1005,Balt Split Level Computer Training Table,138.75,Furniture,Tables,Jumbo Box,0.74
1006,Xerox 217,6.48,Office Supplies,Paper,Small Box,0.37
1007,Belkin ErgoBoard™ Keyboard,30.98,Technology,Computer Peripherals,Small Box,0.64
1008,Advantus Panel Wall Certificate Holder - 8.5x11,12.2,Furniture,Office Furnishings,Small Pack,0.43
1009,Fuji Slim Jewel Case CD-R,2.12,Technology,Computer Peripherals,Small Pack,0.55
1010,Newell 326,1.76,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56
1011,Sharp AL-1530CS Digital Copier,499.99,Technology,Copiers and Fax,Large Box,0.36
1012,Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,21.98,Office Supplies,Pens & Art Supplies,Small Pack,0.55
1013,"TOPS Money Receipt Book, Consecutively Numbered in Red,",8.01,Office Supplies,Paper,Wrap Bag,0.40
1014,Xerox 1989,4.98,Office Supplies,Paper,Small Box,0.38
1015,Lexmark Z54se Color Inkjet Printer,90.97,Technology,Office Machines,Jumbo Drum,0.36
1016,Xerox 197,30.98,Office Supplies,Paper,Small Box,0.40
1017,Newell 342,3.28,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56
1018,M70,125.99,Technology,Telephones and Communication,Small Box,0.59
1019,Sanford 52201 APSCO Electric Pencil Sharpener,40.97,Office Supplies,Pens & Art Supplies,Small Pack,0.59
1020,Epson LQ-870 Dot Matrix Printer,535.64,Technology,Office Machines,Jumbo Drum,0.59
1021,Belkin 8 Outlet Surge Protector,40.98,Office Supplies,Appliances,Small Box,0.57
1022,"Tensor ""Hersey Kiss"" Styled Floor Lamp",12.99,Furniture,Office Furnishings,Large Box,0.73
1023,Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders,5.8,Office Supplies,Binders and Binder Accessories,Small Box,0.40
1024,Fellowes Staxonsteel® Drawer Files,193.17,Office Supplies,Storage & Organization,Small Box,0.71
1025,Nu-Dell Executive Frame,12.64,Furniture,Office Furnishings,Small Pack,0.48
1026,"""While you Were Out"" Message Book, One Form per Page",3.71,Office Supplies,Paper,Wrap Bag,0.35
1027,Xerox 197,30.98,Office Supplies,Paper,Small Box,0.40
1028,"Eldon Base for stackable storage shelf, platinum",38.94,Office Supplies,Storage & Organization,Large Box,0.80
1029,Kleencut® Forged Office Shears by Acme United Corporation,2.08,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,0.55
1030,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",107.53,Furniture,Office Furnishings,Medium Box,0.65
1031,KI Conference Tables,70.89,Furniture,Tables,Jumbo Box,0.72
1032,Bell Sonecor JB700 Caller ID,7.99,Technology,Telephones and Communication,Medium Box,0.60
1033,"Imation 3.5 IBM Diskettes, 10/Box",8.46,Technology,Computer Peripherals,Small Pack,0.79
1034,Dixon Ticonderoga Core-Lock Colored Pencils,9.11,Office Supplies,Pens & Art Supplies,Wrap Bag,0.52
1035,CF 688,155.99,Technology,Telephones and Communication,Small Box,0.58
1036,6162i,65.99,Technology,Telephones and Communication,Small Box,0.55
1037,"Verbatim DVD-R, 4.7GB, Spindle, WE, Blank, Ink Jet/Thermal, 20/Spindle",115.79,Technology,Computer Peripherals,Small Pack,0.49
1038,Newell 340,2.88,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56
1039,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",30.93,Furniture,Office Furnishings,Small Pack,0.44
1040,Newell 308,1.68,Office Supplies,Pens & Art Supplies,Wrap Bag,0.60
1041,"Super Bands, 12/Pack",1.86,Office Supplies,Rubber Bands,Wrap Bag,0.82
1042,3285,205.99,Technology,Telephones and Communication,Small Box,0.59
1043,SC7868i,125.99,Technology,Telephones and Communication,Small Box,0.55
1044,Avery 498,2.89,Office Supplies,Labels,Small Box,0.38
1045,Xerox 217,6.48,Office Supplies,Paper,Small Box,0.37
1046,Canon MP41DH Printing Calculator,150.98,Technology,Office Machines,Medium Box,0.38
1047,Computer Printout Paper with Letter-Trim Perforations,18.97,Office Supplies,Paper,Small Box,0.37
1048,Filing/Storage Totes and Swivel Casters,9.71,Office Supplies,Storage & Organization,Small Box,0.60
1049,Bell Sonecor JB700 Caller ID,7.99,Technology,Telephones and Communication,Medium Box,0.60
1050,"O'Sullivan Elevations Bookcase, Cherry Finish",130.98,Furniture,Bookcases,Jumbo Box,0.69
1051,Safco Industrial Wire Shelving,95.99,Office Supplies,Storage & Organization,Large Box,0.37
1052,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",4.98,Technology,Computer Peripherals,Small Pack,0.64
1053,i270,65.99,Technology,Telephones and Communication,Small Box,0.55
1054,Eldon Simplefile® Box Office®,12.44,Office Supplies,Storage & Organization,Medium Box,0.57
1055,"Master Caster Door Stop, Large Neon Orange",7.28,Furniture,Office Furnishings,Wrap Bag,0.42
1056,Serrated Blade or Curved Handle Hand Letter Openers,3.14,Office Supplies,"Scissors, Rulers and Trimmers",Wrap Bag,0.84
1057,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",36.55,Office Supplies,Pens & Art Supplies,Wrap Bag,0.41
1058,"Acme® 8"" Straight Scissors",12.98,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,0.60
1059,"Eldon® Expressions™ Wood Desk Accessories, Oak",7.38,Furniture,Office Furnishings,Small Box,0.56
1060,Xerox 193,5.98,Office Supplies,Paper,Small Box,0.36
1061,"Decoflex Hanging Personal Folder File, Blue",15.42,Office Supplies,Storage & Organization,Small Box,0.58
1062,Newell 314,5.58,Office Supplies,Pens & Art Supplies,Wrap Bag,0.60
1063,Prismacolor Color Pencil Set,19.84,Office Supplies,Pens & Art Supplies,Wrap Bag,0.44
1064,Nu-Dell Executive Frame,12.64,Furniture,Office Furnishings,Small Pack,0.48
1065,GBC Standard Therm-A-Bind Covers,24.92,Office Supplies,Binders and Binder Accessories,Small Box,0.39
1066,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,43.98,Office Supplies,Pens & Art Supplies,Small Pack,0.58
1067,StarTAC ST7762,125.99,Technology,Telephones and Communication,Small Box,0.57
1068,Hoover WindTunnel™ Plus Canister Vacuum,363.25,Office Supplies,Appliances,Small Box,0.57
1069,Xerox 1984,6.48,Office Supplies,Paper,Small Box,0.36
1070,"Tennsco Lockers, Gray",20.98,Office Supplies,Storage & Organization,Jumbo Drum,0.78
1071,Wilson Jones® Four-Pocket Poly Binders,6.54,Office Supplies,Binders and Binder Accessories,Small Box,0.36
1072,7160,140.99,Technology,Telephones and Communication,Small Box,0.59
1073,3M Organizer Strips,5.4,Office Supplies,Binders and Binder Accessories,Small Box,0.37
1074,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",7.64,Office Supplies,Paper,Wrap Bag,0.36
1075,#6 3/4 Gummed Flap White Envelopes,9.9,Office Supplies,Envelopes,Small Box,0.37
1076,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,Office Supplies,Appliances,Jumbo Drum,0.58
1077,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",8.69,Office Supplies,Binders and Binder Accessories,Small Box,0.39
1078,Fellowes Staxonsteel® Drawer Files,193.17,Office Supplies,Storage & Organization,Small Box,0.71
1079,I888 World Phone,155.99,Technology,Telephones and Communication,Small Box,0.60
1080,Xerox 1997,6.48,Office Supplies,Paper,Small Box,0.37
1081,Staples Standard Envelopes,5.68,Office Supplies,Envelopes,Small Box,0.38
1082,Xerox 1964,22.84,Office Supplies,Paper,Small Box,0.39
1083,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,179.99,Technology,Telephones and Communication,Medium Box,0.57
1084,282,115.99,Technology,Telephones and Communication,Small Box,0.56
1085,"DXL™ Angle-View Binders with Locking Rings, Black",5.99,Office Supplies,Binders and Binder Accessories,Small Box,0.38
1086,"Advantus Push Pins, Aluminum Head",5.81,Office Supplies,Rubber Bands,Wrap Bag,0.54
1087,"Quartet Alpha® White Chalk, 12/Pack",2.21,Office Supplies,Pens & Art Supplies,Wrap Bag,0.38
1088,Accessory4,85.99,Technology,Telephones and Communication,Wrap Bag,0.85
1089,O'Sullivan 2-Shelf Heavy-Duty Bookcases,48.58,Furniture,Bookcases,Jumbo Box,0.69
1090,"80 Minute CD-R Spindle, 100/Pack - Staples",39.48,Technology,Computer Peripherals,Small Pack,0.54
1091,Bevis 36 x 72 Conference Tables,124.49,Furniture,Tables,Jumbo Box,0.63
1092,BPI Conference Tables,146.05,Furniture,Tables,Jumbo Box,0.71
1093,Avery 501,3.69,Office Supplies,Labels,Small Box,0.38
1094,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,3.85,Office Supplies,Pens & Art Supplies,Wrap Bag,0.44
1095,Harmony HEPA Quiet Air Purifiers,11.7,Office Supplies,Appliances,Medium Box,0.50
1096,5190,65.99,Technology,Telephones and Communication,Small Box,0.59
1097,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers",500.98,Technology,Office Machines,Jumbo Drum,0.38
1098,"Hot File® 7-Pocket, Floor Stand",178.47,Office Supplies,Storage & Organization,Small Box,0.55
1099,Xerox 190,4.98,Office Supplies,Paper,Small Box,0.38
1100,Xerox 1950,5.78,Office Supplies,Paper,Small Box,0.36
1101,iDENi80s,65.99,Technology,Telephones and Communication,Small Box,0.59
1102,"Eldon® Expressions™ Wood Desk Accessories, Oak",7.38,Furniture,Office Furnishings,Small Box,0.56
1103,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,34.58,Office Supplies,Pens & Art Supplies,Small Pack,0.56
1104,Hanging Personal Folder File,15.7,Office Supplies,Storage & Organization,Small Box,0.60
1105,Staples Bulk Pack Metal Binder Clips,6.08,Office Supplies,Rubber Bands,Wrap Bag,0.35
1106,636,115.99,Technology,Telephones and Communication,Small Box,0.57
1107,R380,195.99,Technology,Telephones and Communication,Small Box,0.58
